entity,variable,date,value,unit,measurementMethod,observationPeriod
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2011-03-31,1352000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2012-11-30,860000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2013-09-30,54865000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2013-10-31,11770000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2013-11-30,17998000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2013-12-31,163295000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2014-01-31,82469000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2014-02-28,104409000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2014-03-31,221984000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2014-04-30,175052000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2014-05-31,152026000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2014-06-30,305531000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2014-07-31,136174000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2014-08-31,151390000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
