entity,variable,date,value,unit,measurementMethod,observationPeriod
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-05-08,1.69,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-05-09,1.7,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-05-10,1.71,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-05-11,1.72,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-05-14,1.7,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-05-15,1.76,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-05-16,1.72,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-05-17,1.73,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-05-18,1.7,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-05-21,1.66,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-05-22,1.63,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-05-23,1.64,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-05-24,1.72,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-05-25,1.71,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-05-29,1.7,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-05-30,1.69,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-05-31,1.8,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-06-01,1.78,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-06-04,1.76,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-06-05,1.72,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-06-06,1.7,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-06-07,1.69,Percent,seiche/OfrPreliminaryRelease,P1D
country/USA,seiche/OfrDvpOvernightOpenRepo_Mean_InterestRate_FinancialInstrument,2018-06-08,1.67,Percent,seiche/OfrPreliminaryRelease,P1D
